Rang;Country;Name;TimeOne;TimeTwo;TotalTime
1;NOR;Sebastian-Foss SOLEVAAG;49,8;55,3;105,1
2;NOR;Henrik KRISTOFFERSEN;52,9;55,8;108,69999999999999
3;SWE;Mattias HARGIN;51,5;57,5;109
4;SWE;Markus LARSSON;48,4;60,6;109
5;ITA;Stefano GROSS;51,5;57,7;109,2
6;GER;Fritz DOPFER;52,6;56,6;109,2
7;AUT;Mario MATT;53;56,4;109,4
8;AUT;Marcel HIRSCHER;56,8;55,4;112,19999999999999
9;SUI;Ramon ZENHAEUSERN;51,1;61,9;113
10;CRO;Ivica KOSTELIC;55,5;58,6;114,1
11;GBR;David RYDING;53;61,1;114,1
12;SLO;Mitja VALENCIC;51,2;63,2;114,4
13;SVK;Adam ZAMPA;52,4;62,4;114,8
14;NOR;Leif Kristian HAUGEN;56,3;58,8;115,1
15;USA;Nolan KASPER;55;60,2;115,2
16;RUS;Alexander KHOROSHILOV;55,1;60,2;115,30000000000001
17;FRA;Julien LIZEROUX;54,9;61,3;116,19999999999999
18;CAN;Michael JANYK;56,2;60,4;116,6
19;CRO;Dalibor SAMSAL;57,1;60,8;117,9
20;EST;Warren Cummings SMITH;55,8;64;119,8
21;LIE;Marco PFIFFNER;57,6;62,2;119,80000000000001
22;MKD;Antonio RISTEVSKI;58,8;63,6;122,4
23;LAT;Martins ONSKULIS;57,6;65,4;123
24;CAN;Philip BROWN;58,7;65,8;124,5
25;CRO;Matej VIDOVIC;58,4;66,7;125,1
26;GEO;Iason ABRAMASHVILI;57,9;67,8;125,69999999999999
27;IRI;Mohammad KIYADARBANDSARI;55,9;70,8;126,69999999999999
28;POL;Michal JASICZEK;60,8;66;126,8
29;NZL;Adam BARWOOD;56,1;70,7;126,80000000000001
30;RUS;Pavel TRIKHICHEV;57,3;69,6;126,89999999999999
31;ROU;Alexandru BARBU;60,2;67,4;127,60000000000001
32;IRI;Hossein SAVEH SHEMSHAKI;59,6;72;131,6
33;ESP;Alex PUENTE TASIAS;60,3;72,2;132,5
34;GRE;Kostas SYKARAS;65,3;68,5;133,8
35;ARM;Arman SEREBRAKIAN;64;70,7;134,7
36;ISL;Brynjar Jokull GUDMUNDSSON;64,5;74,2;138,7
37;GRE;Massimiliano VALCAREGGI;67,7;73,5;141,2
38;IRL;Conor LYNE;68,8;76,1;144,89999999999998
39;MNE;Tarik HADZIC;69,5;75,9;145,4
40;KGZ;Evgeniy TIMOFEEV;66,7;81,6;148,3
41;LIB;Alexandre MOHBAT;70,7;78,2;148,9
